iter	Passed	Remaining
153	291	1601
154	292	1593
155	293	1586
156	294	1579
157	295	1572
158	295	1564
159	296	1557
160	297	1548
161	298	1541
162	298	1534
163	300	1529
164	300	1522
165	301	1516
166	302	1510
167	303	1503
168	304	1497
169	305	1490
170	306	1483
171	306	1477
172	307	1470
173	308	1464
174	309	1457
175	309	1450
176	310	1444
177	311	1438
178	312	1432
179	313	1425
180	313	1419
181	315	1416
182	316	1411
183	317	1406
184	318	1401
185	319	1396
186	320	1392
187	321	1386
188	322	1382
189	323	1377
190	324	1372
191	325	1368
192	326	1363
193	326	1357
194	327	1352
195	329	1351
196	330	1347
197	331	1341
198	332	1336
199	332	1331
200	333	1326
201	334	1321
202	335	1316
203	336	1312
204	337	1308
205	338	1305
206	339	1301
207	341	1299
208	342	1296
209	343	1292
210	344	1289
211	345	1285
212	346	1281
213	347	1277
214	348	1273
215	349	1269
216	350	1265
217	351	1260
218	352	1256
219	353	1251
220	354	1248
221	356	1248
222	357	1244
223	358	1243
224	359	1238
225	360	1235
226	362	1234
227	363	1232
228	364	1228
229	365	1224
230	366	1221
231	367	1217
232	369	1214
233	369	1210
234	370	1207
235	371	1203
236	372	1200
237	373	1196
238	374	1192
239	375	1188
240	376	1185
241	377	1181
242	377	1177
243	378	1173
244	379	1169
245	380	1166
246	381	1164
247	383	1161
248	383	1157
249	384	1154
250	385	1150
251	386	1147
252	387	1143
253	388	1140
254	389	1136
255	389	1133
256	390	1129
257	391	1126
258	392	1122
259	393	1120
260	394	1117
261	395	1114
262	396	1110
263	397	1108
264	398	1105
265	399	1102
266	400	1100
267	401	1097
268	402	1094
269	403	1091
270	404	1088
271	405	1085
272	407	1085
273	408	1083
274	410	1082
275	411	1080
276	412	1077
277	413	1074
278	415	1073
279	416	1071
280	417	1068
281	418	1066
282	420	1064
283	421	1061
284	422	1060
285	424	1058
286	425	1056
287	426	1053
288	427	1050
289	427	1047
290	429	1045
291	430	1042
292	431	1040
293	432	1037
294	433	1034
295	434	1032
296	435	1030
297	436	1028
298	437	1026
299	438	1024
300	440	1021
301	441	1019
302	442	1016
303	442	1014
304	444	1012
305	445	1010
306	446	1007
307	447	1004
308	448	1003
309	449	1000
310	450	998
311	452	997
312	453	994
313	454	992
314	455	990
315	456	988
316	458	986
317	459	984
318	462	987
319	463	985
320	464	983
321	466	982
322	467	980
323	468	977
324	469	975
325	470	972
326	471	970
327	472	967
328	473	965
329	474	963
330	476	962
331	477	960
332	479	960
333	480	958
334	481	955
335	482	952
336	483	950
337	483	947
338	484	944
339	485	942
340	486	939
341	487	938
342	489	938
343	491	937
344	493	936
345	493	933
346	494	930
347	495	928
348	496	925
349	496	922
350	497	920
351	498	917
352	499	915
353	500	913
354	502	912
355	503	910
356	504	908
357	505	906
358	506	904
359	507	901
360	507	899
361	508	896
362	509	894
363	510	891
364	511	889
365	513	888
366	514	887
367	515	884
368	516	882
369	516	880
370	517	877
371	518	875
372	519	873
373	520	870
374	521	868
375	522	866
376	523	864
377	523	862
378	524	860
379	526	858
380	527	856
381	528	854
382	529	852
383	529	850
384	530	847
385	531	845
386	532	843
387	533	841
388	534	838
389	534	836
390	535	834
391	536	831
392	537	829
393	538	828
394	539	826
395	540	823
396	540	821
397	541	819
398	542	817
399	543	815
400	544	812
401	544	810
402	545	808
403	546	806
404	547	804
405	548	802
406	549	799
407	549	797
408	551	796
409	551	794
410	552	792
411	553	790
412	554	787
413	555	785
414	556	783
415	556	781
416	557	779
417	558	777
418	559	775
419	560	773
420	560	771
421	561	769
422	562	767
423	563	765
424	564	763
425	565	761
426	565	759
427	566	757
428	567	755
429	568	753
430	568	751
431	569	749
432	570	747
433	571	745
434	572	743
435	572	741
436	573	739
437	574	737
438	575	735
439	576	733
440	576	731
441	577	729
442	578	727
443	579	725
444	580	723
445	581	721
446	581	719
447	582	717
448	583	715
449	584	713
450	584	711
451	585	709
452	586	707
453	586	705
454	587	703
455	588	701
456	589	700
457	589	698
458	590	696
459	591	694
460	592	692
461	593	690
462	593	688
463	594	686
464	595	684
465	596	683
466	596	681
467	597	679
468	598	677
469	598	675
470	599	673
471	600	671
472	601	669
473	601	667
474	602	665
475	603	664
476	603	662
477	605	660
478	606	659
479	607	657
480	608	656
481	608	654
482	609	652
483	610	650
484	611	649
485	612	647
486	613	645
487	614	644
488	615	642
489	615	641
490	616	639
491	617	637
492	618	636
493	619	634
494	620	632
495	621	631
496	622	629
497	623	628
498	623	626
499	624	624
500	625	623
501	626	621
502	627	619
503	628	618
504	629	616
505	630	615
506	631	613
507	631	611
508	632	610
509	633	608
510	634	607
511	635	605
512	636	604
513	637	602
514	637	600
515	638	599
516	639	597
517	640	595
518	641	594
519	642	592
520	642	590
521	643	589
522	644	587
523	645	586
524	646	584
525	647	583
526	648	581
527	648	580
528	649	578
529	650	576
530	651	575
531	652	573
532	652	572
533	653	570
534	654	569
535	655	567
536	656	566
537	657	564
538	658	562
539	659	561
540	660	560
541	661	558
542	662	557
543	663	555
544	664	554
545	664	552
546	665	551
547	666	549
548	667	548
549	668	546
550	668	545
551	669	543
552	670	541
553	671	540
554	672	539
555	673	537
556	674	536
557	674	534
558	675	533
559	676	531
560	677	530
561	678	528
562	678	527
563	679	525
564	680	524
565	681	522
566	682	520
567	682	519
568	683	517
569	684	516
570	685	514
571	686	513
572	687	512
573	688	510
574	688	509
575	689	507
576	690	506
577	691	504
578	691	503
579	692	501
580	693	500
581	694	498
582	695	497
583	695	495
584	696	494
585	697	492
586	698	491
587	699	489
588	699	488
589	700	486
590	701	485
591	702	484
592	703	482
593	703	481
594	704	479
595	705	478
596	706	476
597	706	475
598	707	473
599	708	472
600	709	470
601	709	469
602	710	467
603	711	466
604	712	465
605	713	464
606	714	462
607	715	461
608	716	459
609	717	458
610	717	457
611	718	455
612	719	454
613	720	452
614	721	451
615	722	450
616	722	448
617	723	447
618	724	445
619	725	444
620	726	443
621	727	441
622	728	440
623	728	439
624	729	437
625	730	436
626	731	435
627	732	433
628	733	432
629	734	431
630	734	429
631	735	428
632	736	427
633	737	425
634	738	424
635	739	423
636	739	421
637	740	420
638	741	418
639	742	417
640	743	416
641	743	414
642	744	413
643	745	412
644	746	410
645	746	409
646	747	407
647	748	406
648	749	405
649	749	403
650	750	402
651	751	401
652	752	399
653	752	398
654	753	396
655	754	395
656	755	394
657	755	392
658	756	391
659	757	390
660	757	388
661	758	387
662	759	386
663	760	384
664	760	383
665	761	382
666	762	380
667	763	379
668	764	378
669	765	376
670	766	375
671	766	374
672	767	372
673	768	371
674	769	370
675	769	368
676	770	367
677	771	366
678	772	365
679	772	363
680	773	362
681	774	361
682	775	359
683	775	358
684	776	357
685	777	355
686	778	354
687	778	353
688	779	351
689	780	350
690	781	349
691	781	348
692	782	346
693	783	345
694	784	344
695	784	342
696	785	341
697	786	340
698	786	338
699	787	337
700	788	336
701	789	335
702	789	333
703	790	332
704	791	331
705	792	329
706	793	328
707	793	327
708	794	326
709	795	324
710	796	323
711	796	322
712	797	321
713	798	319
714	799	318
715	799	317
716	800	315
717	801	314
718	802	313
719	802	312
720	803	310
721	804	309
722	805	308
723	806	307
724	806	306
725	807	304
726	808	303
727	809	302
728	810	301
729	811	300
730	812	299
731	813	297
732	814	296
733	816	295
734	819	295
735	821	294
736	824	294
737	826	293
738	828	292
739	834	293
740	838	293
741	839	291
742	842	291
743	843	290
744	844	289
745	846	288
746	849	287
747	850	286
748	852	285
749	853	284
750	855	283
751	857	282
752	861	282
753	863	281
754	864	280
755	865	279
756	866	278
757	868	277
758	869	275
759	870	274
760	871	273
761	873	272
762	875	271
763	876	270
764	877	269
765	878	268
766	879	267
767	880	266
768	881	264
769	882	263
770	883	262
771	884	261
772	886	260
773	887	259
774	890	258
775	892	257
776	893	256
777	894	255
778	895	254
779	896	252
780	898	251
781	899	250
782	901	249
783	902	248
784	905	247
785	906	246
786	907	245
787	908	244
788	909	243
789	910	242
790	912	241
791	913	239
792	914	238
793	915	237
794	917	236
795	918	235
796	919	234
797	920	233
798	922	232
799	924	231
800	925	229
801	926	228
802	927	227
803	928	226
804	929	225
805	931	224
806	932	222
807	934	221
808	935	220
809	936	219
810	937	218
811	939	217
812	940	216
813	941	215
814	943	214
815	945	213
816	946	211
817	947	210
818	948	209
819	949	208
820	951	207
821	953	206
822	954	205
823	955	204
824	957	203
825	958	201
826	959	200
827	960	199
828	961	198
829	963	197
830	965	196
831	966	195
832	967	193
833	968	192
834	969	191
835	970	190
836	971	189
837	972	187
838	973	186
839	974	185
840	975	184
841	977	183
842	978	182
843	979	180
844	980	179
845	981	178
846	981	177
847	982	176
848	983	174
849	984	173
850	986	172
851	987	171
852	988	170
853	989	169
854	990	168
855	991	166
856	992	165
857	993	164
858	994	163
859	995	162
860	996	160
861	997	159
862	998	158
863	999	157
864	999	156
865	1000	154
866	1001	153
867	1002	152
868	1003	151
869	1004	150
870	1005	148
871	1006	147
872	1007	146
873	1008	145
874	1009	144
875	1010	143
876	1011	141
877	1011	140
878	1012	139
879	1013	138
880	1014	137
881	1015	135
882	1016	134
883	1017	133
884	1018	132
885	1019	131
886	1021	130
887	1022	128
888	1023	127
889	1024	126
890	1025	125
891	1026	124
892	1027	123
893	1028	121
894	1028	120
895	1029	119
896	1030	118
897	1031	117
898	1032	116
899	1034	114
900	1035	113
901	1036	112
902	1037	111
903	1037	110
904	1038	109
905	1039	107
906	1040	106
907	1041	105
908	1043	104
909	1044	103
910	1045	102
911	1046	100
912	1047	99
913	1048	98
914	1049	97
915	1050	96
916	1051	95
917	1052	94
918	1053	92
919	1054	91
920	1055	90
921	1056	89
922	1057	88
923	1058	87
924	1059	85
925	1060	84
926	1061	83
927	1063	82
928	1064	81
929	1065	80
930	1066	79
931	1067	77
932	1068	76
933	1069	75
934	1070	74
935	1071	73
936	1072	72
937	1073	70
938	1074	69
939	1075	68
940	1076	67
941	1076	66
942	1077	65
943	1078	63
944	1079	62
945	1080	61
946	1081	60
947	1081	59
948	1082	58
949	1083	57
950	1084	55
951	1085	54
952	1086	53
953	1087	52
954	1088	51
955	1089	50
956	1090	48
957	1091	47
958	1092	46
959	1093	45
960	1093	44
961	1094	43
962	1095	42
963	1096	40
964	1097	39
965	1098	38
966	1099	37
967	1100	36
968	1100	35
969	1101	34
970	1102	32
971	1103	31
972	1103	30
973	1104	29
974	1105	28
975	1106	27
976	1107	26
977	1107	24
978	1108	23
979	1109	22
980	1110	21
981	1111	20
982	1111	19
983	1112	18
984	1113	16
985	1114	15
986	1114	14
987	1115	13
988	1116	12
989	1117	11
990	1118	10
991	1119	9
992	1119	7
993	1120	6
994	1121	5
995	1122	4
996	1123	3
997	1123	2
998	1124	1
999	1125	0
